Party Name,Election Symbol,States,Headquarter Address
Aam Janta Pragati Party,Election Symbol not available,All-India [73],Web Link is not associated with the Party on Wikipedia
Akhil Bharat Hindu Mahasabha,Election Symbol not available,All-India,New Delhi
All India Hindustan Congress Party,Election Symbol not available,Gujarat Rajasthan,Jaipur, Rajasthan
All India Mahila Empowerment Party,Election Symbol not available,Telangana Karnataka,Hyderabad, Telangana, India
Amma Makkal Munnettra Kazagam,Election Symbol not available,Tamil Nadu,21/11, 1st Main Road, Karpagam Gardens, Adyar, Chennai – 600020, Tamil Nadu, India.
Amra Bangali,Election Symbol not available,West Bengal Tripura,Kolkata, West Bengal
Azad Adhikar Sena,Election Symbol not available,Uttar Pradesh,5/426, Viram Khand, Gomtinagar, Lucknow -226010[1]
Azad Samaj Party (Kanshi Ram),Election Symbol not available,Uttar Pradesh,3/22-c-136, c block Gokulpur New Delhi, 110094
Bahujan Mukti Party,Election Symbol not available,Uttar Pradesh Maharashtra,Adress Not Found on Wikipedia
Bharatiya Minorities Suraksha Mahasangh,Election Symbol not available,Maharashtra,Sir Jamshedji Jeejeebhoy Rd, Nagpada, Mumbai, Maharashtra 400008
Gorkha Janmukti Morcha,Election Symbol not available,West Bengal,Adress Not Found on Wikipedia
Goa Suraksha Manch,Election Symbol not available,Goa,Shop No. 644/1, Ward No. 4, Ground Floor, Ahilyaram Niwas, Savaiverem, Ponda, Goa
Gondwana Ganatantra Party,Election Symbol not available,Chhattisgarh Jharkhand Maharashtra,Village Tiwarta, Teh. Katghora, Korba district, Chhattisgarh
Hindu Sena,Election Symbol not available,New Delhi,Adress Not Found on Wikipedia
Hindustani Awam Morcha[74],Election Symbol not available,Bihar,12, Strand Rd, Rajbansi Nagar, Patna, Bihar 800015
Indiya Jananayaka Katchi,Election Symbol not available,Tamil Nadu,No. 9, 3rd Avenue, 3th Street, Ashok Nagar, Chennai-600083, Tamil Nadu, India
Indian Gandhiyan Party,Election Symbol not available,Kerala,National Election Coordinator Mr. Aashin U S Kuriyakott Building, Thekkumpadam Road, Pattikkad P.O., Thrissur District, Kerala 680509
